country1,country2,nbLinkTmp,frameworkContract
Austria,Belgium,495,FP6
Austria,France,718,FP6
Belgium,France,1214,FP6
Finland,France,597,FP6
Cyprus,France,109,FP6
Czech Republic,France,537,FP6
Denmark,France,642,FP6
Bulgaria,France,183,FP6
Croatia,France,60,FP6
Estonia,France,162,FP6
Austria,Germany,990,FP6
Belgium,Germany,1360,FP6
France,Germany,2388,FP6
Finland,Germany,762,FP6
Cyprus,Germany,126,FP6
Czech Republic,Germany,668,FP6
Denmark,Germany,788,FP6
Bulgaria,Germany,243,FP6
Croatia,Germany,74,FP6
Estonia,Germany,210,FP6
Austria,Italy,711,FP6
Belgium,Italy,1107,FP6
France,Italy,1850,FP6
Germany,Italy,2168,FP6
Greece,Italy,866,FP6
Ireland,Italy,364,FP6
Finland,Italy,568,FP6
Hungary,Italy,529,FP6
Cyprus,Italy,126,FP6
Czech Republic,Italy,509,FP6
Denmark,Italy,585,FP6
Bulgaria,Italy,206,FP6
Croatia,Italy,66,FP6
Estonia,Italy,167,FP6
Austria,United Kingdom,782,FP6
Belgium,United Kingdom,1258,FP6
France,United Kingdom,2161,FP6
Germany,United Kingdom,2579,FP6
Italy,United Kingdom,1962,FP6
Greece,United Kingdom,923,FP6
Ireland,United Kingdom,492,FP6
Spain,United Kingdom,1697,FP6
Finland,United Kingdom,678,FP6
Poland,United Kingdom,892,FP6
Hungary,United Kingdom,564,FP6
Portugal,United Kingdom,558,FP6
Sweden,United Kingdom,1144,FP6
Netherlands,United Kingdom,1594,FP6
Cyprus,United Kingdom,119,FP6
Czech Republic,United Kingdom,602,FP6
Romania,United Kingdom,268,FP6
Denmark,United Kingdom,774,FP6
Lithuania,United Kingdom,164,FP6
Slovenia,United Kingdom,309,FP6
Bulgaria,United Kingdom,219,FP6
Croatia,United Kingdom,69,FP6
Slovakia,United Kingdom,221,FP6
Latvia,United Kingdom,117,FP6
Estonia,United Kingdom,200,FP6
Malta,United Kingdom,65,FP6
Luxembourg,United Kingdom,61,FP6
Austria,Greece,377,FP6
Belgium,Greece,546,FP6
France,Greece,888,FP6
Germany,Greece,1006,FP6
Finland,Greece,309,FP6
Cyprus,Greece,130,FP6
Czech Republic,Greece,251,FP6
Denmark,Greece,321,FP6
Bulgaria,Greece,170,FP6
Croatia,Greece,51,FP6
Estonia,Greece,94,FP6
Austria,Ireland,190,FP6
Belgium,Ireland,282,FP6
France,Ireland,387,FP6
Germany,Ireland,454,FP6
Greece,Ireland,215,FP6
Finland,Ireland,174,FP6
Hungary,Ireland,134,FP6
Cyprus,Ireland,37,FP6
Czech Republic,Ireland,118,FP6
Denmark,Ireland,176,FP6
Bulgaria,Ireland,68,FP6
Croatia,Ireland,19,FP6
Estonia,Ireland,62,FP6
Austria,Spain,602,FP6
Belgium,Spain,938,FP6
France,Spain,1584,FP6
Germany,Spain,1814,FP6
Italy,Spain,1511,FP6
Greece,Spain,749,FP6
Ireland,Spain,341,FP6
Finland,Spain,498,FP6
Poland,Spain,711,FP6
Hungary,Spain,460,FP6
Portugal,Spain,495,FP6
Netherlands,Spain,1105,FP6
Cyprus,Spain,109,FP6
Czech Republic,Spain,467,FP6
Romania,Spain,239,FP6
Denmark,Spain,541,FP6
Lithuania,Spain,120,FP6
Slovenia,Spain,266,FP6
Bulgaria,Spain,180,FP6
Croatia,Spain,54,FP6
Slovakia,Spain,175,FP6
Latvia,Spain,89,FP6
Estonia,Spain,153,FP6
Malta,Spain,65,FP6
Luxembourg,Spain,37,FP6
Austria,Finland,298,FP6
Belgium,Finland,411,FP6
Cyprus,Finland,48,FP6
Czech Republic,Finland,216,FP6
Denmark,Finland,299,FP6
Bulgaria,Finland,90,FP6
Croatia,Finland,30,FP6
Estonia,Finland,109,FP6
Austria,Poland,380,FP6
Belgium,Poland,519,FP6
France,Poland,787,FP6
Germany,Poland,1007,FP6
Italy,Poland,779,FP6
Greece,Poland,405,FP6
Ireland,Poland,207,FP6
Finland,Poland,302,FP6
Hungary,Poland,324,FP6
Netherlands,Poland,623,FP6
Cyprus,Poland,88,FP6
Czech Republic,Poland,304,FP6
Denmark,Poland,332,FP6
Lithuania,Poland,128,FP6
Bulgaria,Poland,157,FP6
Croatia,Poland,55,FP6
Latvia,Poland,113,FP6
Estonia,Poland,139,FP6
Malta,Poland,52,FP6
Luxembourg,Poland,31,FP6
Austria,Hungary,297,FP6
Belgium,Hungary,356,FP6
France,Hungary,524,FP6
Germany,Hungary,639,FP6
Greece,Hungary,261,FP6
Finland,Hungary,212,FP6
Cyprus,Hungary,65,FP6
Czech Republic,Hungary,236,FP6
Denmark,Hungary,208,FP6
Bulgaria,Hungary,134,FP6
Croatia,Hungary,42,FP6
Estonia,Hungary,97,FP6
Austria,Portugal,206,FP6
Belgium,Portugal,335,FP6
France,Portugal,533,FP6
Germany,Portugal,577,FP6
Italy,Portugal,509,FP6
Greece,Portugal,302,FP6
Ireland,Portugal,144,FP6
Finland,Portugal,185,FP6
Poland,Portugal,269,FP6
Hungary,Portugal,177,FP6
Netherlands,Portugal,385,FP6
Cyprus,Portugal,67,FP6
Czech Republic,Portugal,168,FP6
